index,qPCR_neg_ct-1,qPCR_neg_ct-2,ZG-1,ZG-10,ZG-11,ZG-12,ZG-13,ZG-14,ZG-15,ZG-16,ZG-17,ZG-18,ZG-19,ZG-2,ZG-20,ZG-21,ZG-22,ZG-23,ZG-24,ZG-25,ZG-26,ZG-27,ZG-28,ZG-29,ZG-3,ZG-30,ZG-31,ZG-32,ZG-33,ZG-34,ZG-35,ZG-36,ZG-37,ZG-38,ZG-39,ZG-4,ZG-40,ZG-41,ZG-42,ZG-43,ZG-44,ZG-45,ZG-46,ZG-47,ZG-48,ZG-49,ZG-5,ZG-50,ZG-51,ZG-52,ZG-6,ZG-7,ZG-8,ZG-9,zymo_pos_ct
D_0__Bacteria;D_1__Cyanobacteria,182,4158,34,2294,2479,381,2930,179,3127,2667,4003,3207,4177,206,2950,3338,2772,2127,2707,3063,2315,2764,160,2331,2780,100,3706,2829,4963,2285,180,104,222,55,0,3811,62,152,151,0,134,0,0,203,130,222,3716,224,3344,1851,1850,2789,2354,2604,157
D_0__Bacteria;D_1__Proteobacteria,312,318,1725,794,380,309,443,1031,307,306,441,600,639,1002,373,567,174,267,88,351,593,262,1379,891,181,763,376,402,231,1098,733,1846,506,472,390,199,599,565,422,558,753,709,521,685,839,1634,193,1660,427,807,426,386,196,300,255
D_0__Bacteria;D_1__Firmicutes,252,0,0,119,60,354,63,33,94,252,0,117,182,101,132,216,53,0,9,139,371,467,89,401,248,85,198,150,0,1202,478,10,305,137,559,2,47,324,199,24,0,0,0,0,0,18,101,13,254,237,8,142,78,0,431
D_0__Bacteria;D_1__Actinobacteria,24,63,451,315,397,73,92,5,62,39,137,0,183,421,68,274,61,40,32,28,202,139,817,641,177,591,126,127,89,1305,0,4,0,0,0,210,22,0,111,31,62,0,0,28,0,85,63,0,101,444,186,103,43,8,10
D_0__Bacteria;D_1__Chloroflexi,45,0,0,182,70,13,16,0,49,0,0,0,111,256,16,28,0,0,0,0,52,70,256,278,0,268,0,39,0,70,0,0,6,0,8,0,0,0,0,0,0,0,0,4,2,33,62,2,65,110,44,20,0,0,2
D_0__Bacteria;D_1__Acidobacteria,107,22,2,385,84,29,104,9,95,0,103,55,29,285,0,132,0,46,0,0,0,35,505,442,43,416,36,86,0,573,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,60,42,3,0,226,82,97,142,95,0
D_0__Bacteria;D_1__Patescibacteria,0,0,0,14,62,4,22,0,0,2,0,0,0,8,0,0,0,0,6,0,62,78,0,25,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,24,27,0,0
D_0__Bacteria;D_1__Gemmatimonadetes,0,0,0,26,0,3,0,0,0,0,0,11,73,15,0,21,0,0,40,0,35,9,63,0,0,20,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,43,5,0,0,2
D_0__Bacteria;D_1__Rokubacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,32,0,0,17,0,0,0,57,25,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Elusimicrobia,0,0,0,0,0,0,0,0,0,0,61,10,0,0,0,69,0,0,0,0,0,0,6,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes,57,0,62,32,0,2,44,11,0,0,0,66,57,50,0,0,0,58,0,50,297,229,18,86,0,14,49,39,0,233,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,188,108,0,18,0,0,0
D_0__Bacteria;D_1__Planctomycetes,41,2,0,0,0,0,73,0,16,0,62,43,0,47,0,121,0,0,0,0,0,0,53,181,40,74,0,27,0,144,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,176,164,82,3,19,0,0
D_0__Bacteria;D_1__Latescibacteria,0,0,0,52,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
D_0__Archaea;D_1__Thaumarchaeota,0,0,0,25,0,2,0,0,0,0,0,0,51,0,0,21,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
D_0__Bacteria;D_1__Nitrospirae,0,0,0,0,0,0,0,0,0,0,0,0,34,25,0,48,0,0,0,0,0,17,36,17,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Verrucomicrobia,0,0,0,28,0,0,0,0,0,0,0,0,0,10,0,35,0,0,0,0,0,0,44,68,0,15,0,0,0,47,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota,0,0,0,39,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;__,34,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0
D_0__Bacteria;D_1__Spirochaetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
