index,qPCR_neg_ct-1,qPCR_neg_ct-2,ZG-1,ZG-10,ZG-11,ZG-12,ZG-13,ZG-14,ZG-15,ZG-16,ZG-17,ZG-18,ZG-19,ZG-2,ZG-20,ZG-21,ZG-22,ZG-23,ZG-24,ZG-25,ZG-26,ZG-27,ZG-28,ZG-29,ZG-3,ZG-30,ZG-31,ZG-32,ZG-33,ZG-34,ZG-35,ZG-36,ZG-37,ZG-38,ZG-39,ZG-4,ZG-40,ZG-41,ZG-42,ZG-43,ZG-44,ZG-45,ZG-46,ZG-47,ZG-48,ZG-49,ZG-5,ZG-50,ZG-51,ZG-52,ZG-6,ZG-7,ZG-8,ZG-9,zymo_pos_ct
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria,182,4158,34,2294,2479,381,2867,179,3127,2667,4003,3207,4177,206,2950,3338,2732,2127,2707,3063,2315,2683,160,2331,2748,100,3706,2829,4963,2285,180,104,222,55,0,3811,62,152,151,0,134,0,0,201,130,222,3716,224,3344,1851,1850,2789,2354,2604,157
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,246,187,1145,210,237,67,308,74,35,124,217,125,199,579,162,352,58,176,88,133,370,133,862,307,105,400,168,252,125,732,90,83,98,71,132,81,43,219,14,0,501,90,21,96,97,1482,75,1656,301,285,236,222,114,231,49
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,66,131,580,501,70,242,133,957,171,148,162,322,422,314,197,144,96,57,0,173,185,119,380,424,76,308,208,132,106,303,643,1763,408,401,258,116,556,346,408,558,252,619,498,589,740,138,118,4,45,364,168,160,82,69,206
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli,252,0,0,101,33,309,34,33,64,21,0,117,110,91,132,112,18,0,0,0,128,207,80,175,124,70,57,108,0,879,478,10,305,137,488,2,47,291,199,24,0,0,0,0,0,18,40,13,199,209,8,24,43,0,431
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria,9,54,451,147,259,28,76,5,11,23,113,0,132,211,68,99,61,0,0,28,202,118,203,431,124,124,58,82,59,560,0,0,0,0,0,93,22,0,111,29,62,0,0,9,0,26,58,0,63,163,132,37,20,8,0
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96,0,0,0,86,0,6,8,0,0,0,0,0,0,149,0,0,0,0,0,0,52,0,67,20,0,199,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,23,0,0,0,57,0,2,0,0,2
D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia,0,0,0,0,27,0,0,0,30,60,0,0,0,0,0,0,35,0,9,56,46,44,0,0,65,2,56,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,47,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia,0,0,0,0,0,45,0,0,0,171,0,0,72,10,0,104,0,0,0,83,197,216,5,209,59,10,67,0,0,123,0,0,0,0,71,0,0,33,0,0,0,0,0,0,0,0,0,0,55,28,0,71,35,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia,15,9,0,68,41,43,13,0,51,16,24,0,13,150,0,135,0,40,21,0,0,21,434,153,0,352,58,45,30,463,0,2,0,0,0,47,0,0,0,2,0,0,0,19,0,46,0,0,0,160,54,66,23,0,10
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6,3,22,0,245,52,25,58,9,0,0,60,55,27,217,0,80,0,46,0,0,0,35,361,213,40,302,36,22,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,144,53,92,49,83,0
