index,qPCR_neg_ct-1,qPCR_neg_ct-2,ZG-1,ZG-10,ZG-11,ZG-12,ZG-13,ZG-14,ZG-15,ZG-16,ZG-17,ZG-18,ZG-19,ZG-2,ZG-20,ZG-21,ZG-22,ZG-23,ZG-24,ZG-25,ZG-26,ZG-27,ZG-28,ZG-29,ZG-3,ZG-30,ZG-31,ZG-32,ZG-33,ZG-34,ZG-35,ZG-36,ZG-37,ZG-38,ZG-39,ZG-4,ZG-40,ZG-41,ZG-42,ZG-43,ZG-44,ZG-45,ZG-46,ZG-47,ZG-48,ZG-49,ZG-5,ZG-50,ZG-51,ZG-52,ZG-6,ZG-7,ZG-8,ZG-9,zymo_pos_ct
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;__;__,182,4158,34,2294,2479,381,2867,179,3127,2667,4003,3207,4177,206,2950,3338,2732,2127,2707,3063,2310,2683,160,2331,2748,100,3706,2829,4963,2285,180,104,222,55,0,3811,62,152,151,0,134,0,0,201,130,222,3716,224,3344,1851,1850,2789,2354,2604,157
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Mitochondria;__,29,54,59,30,12,5,81,74,35,57,98,66,47,56,67,41,29,132,30,87,20,40,141,70,15,107,65,67,119,0,85,83,98,68,95,15,43,191,0,0,78,90,0,71,34,113,39,106,50,27,78,119,77,83,39
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae;D_5__Gluconobacter,0,37,10,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,37,17,0,23,0,0,423,0,21,22,30,1345,0,1536,0,10,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacteriales;D_4__Enterobacteriaceae;D_5__Kosakonia,0,0,0,0,0,30,0,863,0,22,0,220,51,0,0,0,0,0,0,0,0,0,0,0,0,0,73,28,0,48,579,1645,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacteriales;D_4__Enterobacteriaceae;D_5__Pantoea,0,131,22,0,0,84,73,19,64,31,0,13,0,47,32,0,0,25,0,59,0,0,40,54,41,0,0,14,0,0,0,67,162,131,120,0,160,58,188,475,135,540,441,509,740,108,0,0,0,0,48,43,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Bacillus,68,0,0,60,0,290,34,12,60,0,0,0,43,63,73,25,0,0,0,0,56,0,63,47,107,53,38,108,0,129,478,0,288,102,438,0,47,275,92,24,0,0,0,0,0,2,0,13,50,36,2,3,43,0,86
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae;__,6,0,0,0,0,28,53,0,0,0,67,0,0,52,0,45,0,0,0,0,0,0,44,136,11,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,0,0,0,0,21,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Xanthobacteraceae;__,0,0,0,59,0,0,0,0,0,0,0,0,88,43,0,90,0,0,0,0,0,0,150,57,0,0,0,66,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96;__;__;__,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,52,0,52,20,0,142,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas,0,0,145,0,38,0,0,30,0,29,0,6,85,2,0,0,0,0,0,0,0,0,4,0,0,0,48,43,0,41,15,5,22,0,129,0,48,120,31,11,0,0,0,0,0,0,0,0,0,0,0,23,0,33,61
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96;D_3__metagenome;D_4__;D_5__,0,0,0,36,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,2,0,0,0
